,City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity
214,irupi,BR,2020-02-08 17:28:52,-20.35,-41.64,25.29,1.55,7,81
215,svetlogorsk,BY,2020-02-08 17:28:52,52.63,29.73,-2.71,2.44,97,97
216,tazovskiy,RU,2020-02-08 17:28:52,67.47,78.7,-23.86,3.48,98,94
217,valparaiso,CL,2020-02-08 17:28:52,-33.04,-71.63,20.0,3.6,0,68
218,sabang,ID,2020-02-08 17:28:52,5.89,95.32,27.99,6.14,62,68
219,bongouanou,CI,2020-02-08 17:28:53,6.65,-4.2,31.89,0.46,87,16
220,bengkulu,ID,2020-02-08 17:28:53,-3.8,102.27,22.35,1.48,100,89
221,bosaso,SO,2020-02-08 17:28:53,11.28,49.18,24.23,4.39,0,76
222,vangaindrano,MG,2020-02-08 17:28:53,-23.35,47.6,23.58,1.51,3,95
223,cradock,ZA,2020-02-08 17:28:53,-32.16,25.62,21.39,6.92,68,70
224,los llanos de aridane,ES,2020-02-08 17:28:53,28.66,-17.92,21.0,6.2,20,64
225,xam nua,LA,2020-02-08 17:24:17,20.42,104.04,14.62,1.3,89,96
226,picota,PE,2020-02-08 17:28:53,-6.92,-76.33,31.0,2.1,40,100
227,haines junction,CA,2020-02-08 17:28:53,60.75,-137.51,-11.6,5.1,81,96
228,pangnirtung,CA,2020-02-08 17:28:53,66.15,-65.71,-31.0,1.0,5,74
229,gilbues,BR,2020-02-08 17:28:53,-9.83,-45.34,26.23,2.12,100,70
230,storsteinnes,NO,2020-02-08 17:28:53,69.24,19.23,4.0,3.1,84,86
231,bozuyuk,TR,2020-02-08 17:28:53,39.91,30.04,-2.0,5.1,40,78
232,yerbogachen,RU,2020-02-08 17:28:53,61.28,108.01,-19.6,2.04,69,99
233,guerrero negro,MX,2020-02-08 17:26:08,27.98,-114.06,18.5,1.58,16,58
234,sabha,LY,2020-02-08 17:28:53,27.04,14.43,13.53,3.63,49,29
235,meulaboh,ID,2020-02-08 17:28:53,4.14,96.13,27.92,3.05,87,73
236,ryotsu,JP,2020-02-08 17:28:53,38.08,138.43,-2.0,3.1,75,63
237,chuy,UY,2020-02-08 17:28:53,-33.7,-53.46,22.25,6.13,97,90
238,bubaque,GW,2020-02-08 17:28:53,11.28,-15.83,27.49,6.75,3,53
239,lebu,CL,2020-02-08 17:27:42,-37.62,-73.65,25.7,4.06,0,30
240,nayoro,JP,2020-02-08 17:28:54,44.35,142.46,-21.86,0.49,24,92
241,leningradskiy,RU,2020-02-08 17:28:54,69.38,178.42,-29.01,9.79,100,94
242,escondido,US,2020-02-08 17:28:54,33.12,-117.09,18.33,1.25,1,76
243,klyuchi,RU,2020-02-08 17:28:54,52.27,79.17,1.62,6.03,100,93
244,port-gentil,GA,2020-02-08 17:28:54,-0.72,8.78,28.0,3.6,40,83
245,joshimath,IN,2020-02-08 17:28:54,30.57,79.57,-6.28,6.14,0,27
246,waingapu,ID,2020-02-08 17:28:54,-9.66,120.26,28.89,5.42,100,76
247,maningrida,AU,2020-02-08 17:28:54,-12.07,134.27,28.42,6.86,100,78
248,ahipara,NZ,2020-02-08 17:28:54,-35.17,173.17,13.89,6.0,72,100
249,beringovskiy,RU,2020-02-08 17:28:54,63.05,179.32,-27.77,8.03,81,94
250,ust-omchug,RU,2020-02-08 17:28:54,61.15,149.63,-28.93,2.08,100,78
251,lasa,IT,2020-02-08 17:28:54,46.62,10.7,6.0,0.98,40,59
252,kaitangata,NZ,2020-02-08 17:28:54,-46.28,169.85,10.56,2.68,100,69
253,kavieng,PG,2020-02-08 17:28:54,-2.57,150.8,28.43,4.47,100,74
254,praia da vitoria,PT,2020-02-08 17:28:54,38.73,-27.07,20.0,9.15,40,64
255,upata,VE,2020-02-08 17:28:54,8.01,-62.4,28.14,2.6,69,48
256,nakasongola,UG,2020-02-08 17:27:05,1.31,32.46,27.17,4.23,23,41
257,chumikan,RU,2020-02-08 17:28:54,54.72,135.31,-29.27,1.1,0,87
258,novikovo,RU,2020-02-08 17:28:54,51.15,37.89,-10.58,3.67,22,82
259,lompoc,US,2020-02-08 17:28:54,34.64,-120.46,11.0,1.5,90,100
260,dese,ET,2020-02-08 17:28:54,11.13,39.63,9.62,1.4,6,73
261,sao jose da coroa grande,BR,2020-02-08 17:28:55,-8.9,-35.15,27.75,4.92,56,73
262,arroio dos ratos,BR,2020-02-08 17:28:55,-30.08,-51.73,36.11,3.6,40,46
263,hami,CN,2020-02-08 17:28:55,42.8,93.45,-5.22,0.73,0,46
264,lugovoy,KZ,2020-02-08 17:28:55,42.95,72.76,4.9,2.13,9,33
265,binga,ZW,2020-02-08 17:28:55,-17.62,27.34,23.5,3.31,100,87
266,sarangani,PH,2020-02-08 17:28:55,5.4,125.46,27.08,9.21,37,78
267,beloha,MG,2020-02-08 17:28:55,-25.17,45.05,24.37,4.42,0,81
268,leshukonskoye,RU,2020-02-08 17:28:55,64.9,45.76,-15.01,2.48,99,96
269,marapanim,BR,2020-02-08 17:28:55,-0.72,-47.7,25.72,8.92,100,84
270,bambous virieux,MU,2020-02-08 17:27:52,-20.34,57.76,26.0,4.1,75,83
271,korla,CN,2020-02-08 17:28:55,41.76,86.15,1.67,0.45,0,69
272,miri,MY,2020-02-08 17:28:55,4.41,114.01,26.0,1.5,75,94
273,calvinia,ZA,2020-02-08 17:28:55,-31.47,19.78,23.72,8.41,14,35
274,luang prabang,LA,2020-02-08 17:28:55,19.89,102.13,17.28,0.31,31,74
275,san quintin,MX,2020-02-08 17:26:59,30.48,-115.95,16.31,2.96,10,73
276,kijang,KR,2020-02-08 17:28:55,35.24,129.21,0.0,3.6,0,53
277,aklavik,CA,2020-02-08 17:28:55,68.22,-135.01,-30.0,1.0,75,67
278,chulym,RU,2020-02-08 17:28:55,55.1,80.96,1.37,6.88,100,99
279,mount isa,AU,2020-02-08 17:28:55,-20.73,139.5,25.0,3.49,16,78
280,bayir,TR,2020-02-08 17:28:55,37.27,28.22,4.0,4.6,20,41
281,antofagasta,CL,2020-02-08 17:28:55,-23.65,-70.4,22.22,6.2,40,60
282,awjilah,LY,2020-02-08 17:28:55,29.11,21.29,13.4,2.95,1,50
283,newport,GB,2020-02-08 17:26:42,51.59,-3.0,10.0,6.2,47,70
284,manono,CD,2020-02-08 17:28:56,-7.3,27.42,22.27,1.2,96,88
285,douentza,ML,2020-02-08 17:28:56,15.0,-2.95,26.55,3.55,0,8
286,plettenberg bay,ZA,2020-02-08 17:28:56,-34.05,23.37,21.53,3.01,41,88
287,vostok,RU,2020-02-08 17:28:56,46.49,135.88,-26.9,0.93,100,99
288,greifswald,DE,2020-02-08 17:28:56,54.1,13.38,5.56,1.34,47,81
289,esfahan,IR,2020-02-08 17:28:56,32.66,51.68,11.0,7.2,20,50
290,rorvik,NO,2020-02-08 17:28:56,64.86,11.24,4.37,9.58,84,72
291,hofn,IS,2020-02-08 17:28:27,64.25,-15.21,4.47,6.72,100,70
292,terra santa,BR,2020-02-08 17:28:56,-2.1,-56.49,32.65,1.46,95,45
293,severnyy,RU,2020-02-08 17:28:33,50.68,36.55,-10.0,3.0,0,56
294,lithakia,GR,2020-02-08 17:28:56,37.72,20.83,10.0,3.27,20,61
295,phuket,TH,2020-02-08 17:24:01,8.0,98.25,26.0,1.5,20,69
296,ugoofaaru,MV,2020-02-08 17:28:56,5.67,73.0,27.72,3.99,91,76
297,iquitos,PE,2020-02-08 17:28:56,-3.75,-73.25,6.0,1.0,100,100
298,orlik,RU,2020-02-08 17:28:56,52.52,99.83,-15.76,2.31,76,85
299,anloga,GH,2020-02-08 17:28:56,5.79,0.9,31.0,4.6,26,55
300,saint-philippe,RE,2020-02-08 17:27:50,-21.36,55.77,26.0,4.6,75,74
301,biltine,TD,2020-02-08 17:28:56,14.53,20.92,25.67,6.67,30,18
302,bodh gaya,IN,2020-02-08 17:28:56,24.7,84.98,13.0,0.19,38,82
303,kingston,JM,2020-02-08 17:28:56,18.0,-76.79,30.0,7.7,20,62
304,santa fe,AR,2020-02-08 17:28:57,-31.63,-60.7,32.78,0.89,9,53
305,uravakonda,IN,2020-02-08 17:28:57,14.95,77.27,24.15,6.1,71,63
306,kachug,RU,2020-02-08 17:28:57,53.96,105.88,-13.48,1.18,100,96
307,paita,PE,2020-02-08 17:28:57,-5.09,-81.11,17.0,4.6,40,100
308,hambantota,LK,2020-02-08 17:28:57,6.12,81.12,25.72,7.43,72,70
309,portland,US,2020-02-08 17:27:24,45.52,-122.68,7.0,4.1,90,75
310,ahuimanu,US,2020-02-08 17:28:57,21.44,-157.84,19.0,2.1,40,93
311,tura,IN,2020-02-08 17:28:57,25.52,90.22,17.37,1.25,42,48
